id.resp_p,id.orig_h,id.resp_h,proto,orig_bytes,resp_bytes,ts,uid,id.orig_p,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,ip_proto,duration,client_initial_dcid,server_scid,label
53.0,192.168.1.3,192.168.1.1,udp,62.0,271.0,1740118632.527347,C9vDh83K32PpGh5pLl,35718.0,SF,True,True,0.0,Dd,1.0,90.0,1.0,299.0,17.0,0.002547025680541992,1edec4bdcc72bfa6,e9520c813b739a8f,DNS
53.0,192.168.1.3,192.168.1.1,udp,62.0,271.0,1740119364.526666,CLgBbjhkj5zeZeTy8,50430.0,SF,True,True,0.0,Dd,1.0,90.0,1.0,299.0,17.0,0.002547025680541992,1edec4bdcc72bfa6,e9520c813b739a8f,DNS
53.0,192.168.1.3,192.168.1.1,udp,62.0,271.0,1740117935.510411,CYU29KuUS6pil28n,60368.0,SF,True,True,0.0,Dd,1.0,90.0,1.0,299.0,17.0,0.002547025680541992,1edec4bdcc72bfa6,e9520c813b739a8f,DNS
53.0,192.168.1.3,192.168.1.1,udp,52.0,112.0,1740118277.509104,CiU3SH2CA35u9l1fI,53089.0,SF,True,True,0.0,Dd,1.0,80.0,1.0,140.0,17.0,0.019169092178344727,1edec4bdcc72bfa6,e9520c813b739a8f,DNS
53.0,192.168.1.3,192.168.1.1,udp,52.0,112.0,1740118449.524881,ChRnUq4Za7kxwAQjqk,46433.0,SF,True,True,0.0,Dd,1.0,80.0,1.0,140.0,17.0,0.019169092178344727,1edec4bdcc72bfa6,e9520c813b739a8f,DNS
53.0,192.168.1.3,192.168.1.1,udp,52.0,112.0,1740118998.508663,CxjAci28XbbKj5A7jh,37592.0,SF,True,True,0.0,Dd,1.0,80.0,1.0,140.0,17.0,0.019169092178344727,1edec4bdcc72bfa6,e9520c813b739a8f,DNS
53.0,192.168.1.3,192.168.1.1,udp,52.0,112.0,1740118210.508954,CgumFu1XaqqNtGhD8g,45916.0,SF,True,True,0.0,Dd,1.0,80.0,1.0,140.0,17.0,0.019169092178344727,1edec4bdcc72bfa6,e9520c813b739a8f,DNS
53.0,192.168.1.3,192.168.1.1,udp,52.0,112.0,1740119255.520864,CUwwEa9yqJq94zZ95,51403.0,SF,True,True,0.0,Dd,1.0,80.0,1.0,140.0,17.0,0.019169092178344727,1edec4bdcc72bfa6,e9520c813b739a8f,DNS
53.0,192.168.1.3,192.168.1.1,udp,63.0,189.0,1740119957.699892,CMtBbz3y0xigxuynMl,39900.0,SF,True,True,0.0,Dd,1.0,91.0,1.0,217.0,17.0,0.0007059574127197266,1edec4bdcc72bfa6,e9520c813b739a8f,DNS
53.0,192.168.1.3,192.168.1.1,udp,63.0,189.0,1740118510.527941,Crm3fv44BRODBYL4f5,50617.0,SF,True,True,0.0,Dd,1.0,91.0,1.0,217.0,17.0,0.0007059574127197266,1edec4bdcc72bfa6,e9520c813b739a8f,DNS
