id.resp_p,id.orig_h,id.resp_h,proto,orig_bytes,resp_bytes,ts,uid,id.orig_p,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,ip_proto,duration,client_initial_dcid,server_scid
5353.0,fdb3:122f:e2ec:0:b3f1:a17c:ccad:cbc6,ff02::fb,udp,62.0,271.0,1740118007.877114,CQW5gD448OyN1FH5bg,5353.0,SF,True,True,0.0,Dd,1.0,90.0,1.0,299.0,17.0,0.00658416748046875,2fe788e3cc713726,efe788e3cc713726
443.0,192.168.1.3,216.239.38.181,udp,4146.0,4593.0,1740117959.427903,CBCDKb7OvgSqxqm0i,44171.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.07790708541870117,2fe788e3cc713726,efe788e3cc713726
443.0,192.168.1.3,216.239.38.181,udp,4146.0,4593.0,1740117988.15746,CBCDKb7OvgSqxqm0i,44171.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.015582084655761719,2fe788e3cc713726,efe788e3cc713726
443.0,192.168.1.3,216.239.38.181,udp,4146.0,4593.0,1740118067.951806,CBCDKb7OvgSqxqm0i,44171.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.015582084655761719,2fe788e3cc713726,efe788e3cc713726
443.0,192.168.1.3,216.239.38.181,udp,4146.0,4593.0,1740118007.877114,CBCDKb7OvgSqxqm0i,44171.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.015582084655761719,2fe788e3cc713726,efe788e3cc713726
443.0,192.168.1.3,216.239.38.181,udp,4146.0,4593.0,1740118007.877114,CBCDKb7OvgSqxqm0i,44171.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.015582084655761719,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,4146.0,4593.0,1740118112.331896,CUCVckYcg1HmGk3Eg,56283.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.015582084655761719,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,4146.0,4593.0,1740118035.792035,CUCVckYcg1HmGk3Eg,56283.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.006402015686035156,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,4146.0,4593.0,1740118067.951806,CUCVckYcg1HmGk3Eg,56283.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.006402015686035156,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,4146.0,4593.0,1740118007.877114,CUCVckYcg1HmGk3Eg,56283.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.006402015686035156,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,4146.0,4593.0,1740117947.876753,CUCVckYcg1HmGk3Eg,56283.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.006402015686035156,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,4146.0,4593.0,1740118067.951806,CUCVckYcg1HmGk3Eg,56283.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.006402015686035156,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,4146.0,4593.0,1740117947.876753,CUCVckYcg1HmGk3Eg,56283.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.006402015686035156,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,4146.0,4593.0,1740117947.876753,CUCVckYcg1HmGk3Eg,56283.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.006402015686035156,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,4146.0,4593.0,1740118127.959023,CUCVckYcg1HmGk3Eg,56283.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.006402015686035156,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,4146.0,4593.0,1740117947.876753,CUCVckYcg1HmGk3Eg,56283.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.006402015686035156,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,4146.0,4593.0,1740117919.240693,CUCVckYcg1HmGk3Eg,56283.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.019847869873046875,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,4146.0,4593.0,1740118067.951806,CUCVckYcg1HmGk3Eg,56283.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.019847869873046875,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,4146.0,4593.0,1740118007.877114,CUCVckYcg1HmGk3Eg,56283.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.019847869873046875,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,4146.0,4593.0,1740117947.876753,CUCVckYcg1HmGk3Eg,56283.0,SF,True,False,0.0,Dd,9.0,4398.0,12.0,4929.0,17.0,0.019847869873046875,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,58.0,562.0,1740117920.525373,CHFTJzcTdySv7RjQ5,39058.0,SF,True,True,0.0,Dd,1.0,86.0,1.0,590.0,17.0,0.001756906509399414,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,58.0,562.0,1740118127.959023,CHFTJzcTdySv7RjQ5,39058.0,SF,True,True,0.0,Dd,1.0,86.0,1.0,590.0,17.0,0.001756906509399414,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,58.0,562.0,1740118007.877114,CHFTJzcTdySv7RjQ5,39058.0,SF,True,True,0.0,Dd,1.0,86.0,1.0,590.0,17.0,0.001756906509399414,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,58.0,562.0,1740118127.959023,CHFTJzcTdySv7RjQ5,39058.0,SF,True,True,0.0,Dd,1.0,86.0,1.0,590.0,17.0,0.001756906509399414,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,58.0,562.0,1740117998.283794,CHFTJzcTdySv7RjQ5,39058.0,SF,True,True,0.0,Dd,1.0,86.0,1.0,590.0,17.0,0.006165981292724609,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,58.0,562.0,1740118007.877114,CHFTJzcTdySv7RjQ5,39058.0,SF,True,True,0.0,Dd,1.0,86.0,1.0,590.0,17.0,0.006165981292724609,2fe788e3cc713726,efe788e3cc713726
53.0,192.168.1.3,192.168.1.1,udp,58.0,562.0,1740118007.877114,CHFTJzcTdySv7RjQ5,39058.0,SF,True,True,0.0,Dd,1.0,86.0,1.0,590.0,17.0,0.006165981292724609,2fe788e3cc713726,efe788e3cc713726
