id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes
192.168.1.4,48975,192.168.1.1,53,udp,60.76548004,3151,8689,SF,1,0,0,ShADadFf,20,4199,18,9633
192.168.1.4,47730,138.197.53.255,443,tcp,0.054273844,1796,6141,SF,1,0,0,ShADaFdRfR,10,2252,9,6617
192.168.1.4,41362,23.73.207.149,443,tcp,29.30755401,2144,581,SF,1,0,0,ShADadfF,9,2620,9,1057
192.168.1.4,53535,192.168.1.1,53,udp,0.007562876,50,107,SF,1,1,0,Dd,1,78,1,135
192.168.1.4,38130,35.171.92.46,443,tcp,5.544119835,2747,6478,SF,1,0,0,ShADadFf,17,3639,15,7266
192.168.1.4,60192,192.168.1.1,53,udp,0.003531933,58,143,SF,1,1,0,Dd,1,86,1,171
192.168.1.4,52880,192.168.1.1,53,udp,0.000849962,52,52,SF,1,1,0,Dd,1,80,1,80
192.168.1.4,51126,192.168.1.1,53,udp,0.00238204,95,177,SF,1,1,0,Dd,1,123,1,205
192.168.1.4,38505,192.168.1.1,53,udp,0.022145987,52,112,SF,1,1,0,Dd,1,80,1,140
192.168.1.4,58400,23.96.180.189,443,tcp,9.845417023,2492,6823,SF,1,0,0,ShADadFf,14,3072,11,7275
192.168.1.6,60622,192.168.1.4,22,SSH,18.09556794166565,1623,2086,SF,1,1,0,ShADadFf,17,2515,22,3238
192.168.1.4,40575,192.168.1.1,53,udp,0.003319025,42,148,SF,1,1,0,Dd,1,70,1,176
192.168.1.4,56656,192.168.1.1,53,udp,122.280633,6340,55415,SF,1,0,0,ShADadfF,37,8272,55,58283
192.168.1.6,54476,192.168.1.4,22,SSH,18.08956003189087,1631,2086,SF,1,1,0,ShADadFf,17,2523,22,3238
192.168.1.4,41692,20.114.189.135,443,udp,0.108283997,39,288,SF,1,1,0,Dd,1,67,1,316
192.168.1.4,46786,192.168.1.1,53,DNS,0.11599803,47,203,SF,1,1,0,Dd,1,75,1,231
192.168.1.4,58179,68.65.124.209,443,udp,0.15408206,5979,6439,SF,1,0,0,IIishhHHh,17,6455,13,6803
192.168.1.4,37589,192.168.1.1,53,DNS,0.001674175,58,562,SF,1,1,0,Dd,1,86,1,590
192.168.1.4,43750,63.140.38.55,443,udp,0,4026,8802,SF,0,0,0,Dd,7,4222,10,9082
192.168.1.4,51211,142.251.163.95,443,udp,0.117275953,47,165,SF,1,1,0,IIiiiIhhhHHhH,1,75,1,193
192.168.1.4,41899,172.253.122.97,443,udp,0.070641041,4153,7556,SF,1,0,0,Dd,10,4433,11,7864
192.168.1.6,45896,192.168.1.4,22,SSH,18.09048605,1607,2086,SF,1,1,0,ShADadFf,17,2499,22,3238
192.168.1.4,57801,192.168.1.1,53,udp,0.017816067,48,442,SF,1,1,0,Dd,1,76,1,470
192.168.1.4,58876,23.205.105.32,443,tcp,60.06065488,2809,5178,SF,1,0,0,ShADadFRfR,20,3821,17,6070
192.168.1.4,48772,192.168.1.1,53,udp,0.001207113,51,116,SF,1,1,0,Dd,1,79,1,144
192.168.1.4,32908,192.168.1.1,53,udp,0.006934166,36,424,SF,1,1,0,Dd,1,64,1,452
192.168.1.4,48886,142.251.167.99,443,udp,0.011949062,48,319,SF,1,1,0,IIiiiIhhhHHhH,1,76,1,347
192.168.1.4,55293,192.168.1.1,53,udp,224.6071169,2579,258517,SF,1,0,0,ShADadFf,104,7995,167,267209
192.168.1.6,42920,192.168.1.4,22,SSH,16.587816953659058,1623,2086,SF,1,1,0,ShADadFf,17,2515,22,3238
192.168.1.4,51691,192.168.1.1,53,udp,0.008017063,50,321,SF,1,1,0,Dd,1,78,1,349
192.168.1.4,45221,192.168.1.1,53,udp,0.003486872,40,426,SF,1,1,0,Dd,1,68,1,454
192.168.1.6,60622,192.168.1.4,22,SSH,16.609055042266846,1623,2086,SF,1,1,0,ShADadFf,17,2515,22,3238
192.168.1.4,54578,142.250.31.156,443,udp,0.040991068,43,228,SF,1,1,0,Dd,1,71,1,256
192.168.1.4,53396,18.160.37.122,443,udp,0.002831221,70,138,SF,1,1,0,Dd,1,98,1,166
192.168.1.6,36158,192.168.1.4,22,SSH,18.089570999145508,1607,2086,SF,1,1,0,ShADadFf,17,2499,22,3238
192.168.1.4,54472,20.96.153.111,443,udp,0,52,113,SF,0,1,0,IIiishhHH,1,80,1,141
192.168.1.6,51140,192.168.1.4,22,SSH,18.08775496482849,1615,2086,SF,1,1,0,ShADadFf,17,2507,22,3238
192.168.1.4,53200,184.27.9.117,443,udp,0.004377842,72,186,SF,1,1,0,Dd,1,100,1,214
192.168.1.6,56528,192.168.1.4,22,SSH,0.000803947,23,22,RSTR,1,1,0,ShADadr,4,239,5,278
192.168.1.4,43687,192.168.1.1,53,udp,6.76887989,2591,5060,SF,1,0,0,ShADadfFr,18,3535,16,5888
192.168.1.6,38208,192.168.1.4,22,SSH,18.08868694,1623,2086,SF,1,1,0,ShADadFf,17,2515,22,3238
192.168.1.4,59766,192.168.1.1,53,udp,0.031406879,43,332,SF,1,1,0,Dd,1,71,1,360
192.168.1.6,45274,192.168.1.4,22,SSH,18.08569097518921,1607,2086,SF,1,1,0,ShADadFf,17,2499,22,3238
192.168.1.4,57398,23.193.217.21,443,tcp,120.2325499,2619,6821,SF,1,0,0,ShADadfF,26,3979,27,8233
192.168.1.4,44904,207.241.237.3,80,tcp,0,50,404,SH,1,0,0,F,1,52,0,0
192.168.1.4,59942,142.251.16.157,443,tcp,0.041363955,1733,5608,SF,1,0,0,ShADFadRfR,9,2149,8,6032
192.168.1.4,37665,35.190.43.134,443,udp,0.058017015,2792,5237,SF,1,0,0,Dd,8,3016,7,5433
192.168.1.4,54275,192.168.1.1,53,udp,0.007354975,42,114,SF,1,1,0,Dd,1,70,1,142
192.168.1.4,56003,192.168.1.1,53,udp,0.003371954,44,388,SF,1,1,0,Dd,1,72,1,416
192.168.1.4,49894,64.233.180.157,443,udp,0.004406214,57,138,SF,1,1,0,IIiiiIhhhHHhH,1,85,1,166
192.168.1.6,54972,192.168.1.4,22,SSH,16.586359977722168,1615,2086,SF,1,1,0,ShADadFf,17,2507,22,3238
192.168.1.4,55464,192.168.1.1,53,udp,0.043934107,2509,4021,RSTO,1,0,0,ShADadR,10,2929,10,4433
192.168.1.4,38006,63.140.38.55,443,udp,123.7446549,2435,27947,SF,1,0,0,ShADadFf,23,3639,26,29307
192.168.1.6,53764,192.168.1.4,22,SSH,18.09254813194275,1623,2086,SF,1,1,0,ShADadFf,17,2515,22,3238
192.168.1.4,43600,192.168.1.1,53,DNS,18.09119200706482,1631,2086,SF,1,1,0,ShADadFf,17,2523,22,3238
192.168.1.4,44655,192.168.1.1,53,udp,60.83875394,3484,97418,SF,1,0,0,IIiiihhhIHHhH,33,5208,55,100286
192.168.1.4,37704,104.90.96.201,443,tcp,5.742233038,2454,4469,SF,1,0,0,ShADadFRf,16,3270,17,5361
192.168.1.4,59860,172.253.62.102,443,tcp,2.764882088,1878,13363,SF,1,0,0,ShADadFf,13,2562,11,13943
192.168.1.6,55588,192.168.1.4,22,SSH,0.000607014,23,22,RSTR,1,1,0,ShADdar,4,239,5,278
192.168.1.6,49774,192.168.1.4,22,SSH,16.58496094,1607,2086,SF,1,1,0,ShADadFf,17,2499,22,3238
192.168.1.4,52533,192.168.1.1,53,udp,0.002233982,53,134,SF,1,1,0,Dd,1,81,1,162
192.168.1.4,58954,192.168.1.1,53,udp,0.037431955,44,412,SF,1,1,0,Dd,1,72,1,440
192.168.1.6,48588,192.168.1.4,22,SSH,0.000717163,23,22,RSTR,1,1,0,ShADadr,4,239,5,278
192.168.1.4,50527,192.168.1.1,53,udp,0.013871908,44,112,SF,1,1,0,Dd,1,72,1,140
192.168.1.4,45900,172.253.122.132,443,tcp,88.27174401,1873,6364,SF,1,0,0,ShADadFf,12,2505,10,6892
192.168.1.6,54426,192.168.1.4,22,SSH,18.097651958465576,1615,2086,SF,1,1,0,ShADadFf,17,2507,22,3238
192.168.1.4,50364,192.168.1.1,53,udp,0.033488989,51,116,SF,1,1,0,Dd,1,79,1,144
192.168.1.4,56176,192.168.1.1,53,udp,0.039728165,56,121,SF,1,1,0,Dd,1,84,1,149
192.168.1.6,34052,192.168.1.4,22,SSH,18.08875608444214,1631,2086,SF,1,1,0,ShADadFf,17,2523,22,3238
192.168.1.4,43243,192.168.1.1,53,udp,0.017053843,44,251,SF,1,1,0,Dd,1,72,1,279
192.168.1.6,41808,192.168.1.4,22,SSH,16.596578121185303,1607,2086,SF,1,1,0,ShADadFf,17,2499,22,3238
192.168.1.4,39742,192.168.1.1,53,udp,0.006809235,40,376,SF,1,1,0,Dd,1,68,1,404
192.168.1.4,52558,23.212.249.85,443,udp,0.002123833,47,134,SF,1,1,0,IIiishH,1,75,1,162
192.168.1.4,32913,192.168.1.1,53,udp,285.4088762,1965,221253,SF,1,0,0,ShADadtFf,81,6197,114,227189
192.168.1.4,45746,23.227.38.65,443,udp,0.022725105,50,235,SF,1,1,0,IIiiiiIhhhhHHH,1,78,1,263
192.168.1.4,39985,192.168.1.1,53,udp,0.022995949,44,185,SF,1,1,0,Dd,1,72,1,213
192.168.1.4,54563,23.73.207.143,443,udp,0.028987885,64,424,SF,1,1,0,IIIiiishHh,1,92,1,452
192.168.1.4,39269,142.251.163.105,443,udp,0.059831142,4106,6473,SF,1,0,0,Dd,9,4358,10,6753
192.168.1.6,46656,192.168.1.4,22,SSH,18.089391946792603,1607,2086,SF,1,1,0,ShADadFf,17,2499,22,3238
192.168.1.6,47430,192.168.1.4,22,SSH,18.08961200714112,1607,2086,SF,1,1,0,ShADadFf,17,2499,22,3238
192.168.1.6,41012,192.168.1.4,22,SSH,18.08931994438172,1623,2086,SF,1,1,0,ShADadFf,17,2515,22,3238
192.168.1.4,48926,3.166.192.23,443,tcp,5.171794891,2279,42365,SF,1,0,0,ShADadFf,25,3587,29,43881
192.168.1.6,44732,192.168.1.4,22,SSH,18.08933186531067,1631,2086,SF,1,1,0,ShADadFf,17,2523,22,3238
192.168.1.4,51158,142.251.111.148,443,tcp,0.044955015,1833,6350,SF,1,0,0,ShADadFfR,10,2337,8,6774
192.168.1.4,59247,142.251.111.148,443,tcp,4.992206097,3842,5658,SF,1,0,0,ShADadFRf,19,4814,19,6654
192.168.1.4,52664,70.42.32.191,443,tcp,0.13041997,3653,4998,SF,1,0,0,ShADadFfR,14,4365,11,5578
192.168.1.4,50762,100.26.87.64,443,tcp,0.048722029,2634,4016,RSTO,1,0,0,ShADadR,10,3054,9,4388
192.168.1.4,45253,192.168.1.1,53,udp,0.009865999,42,123,SF,1,1,0,Dd,1,70,1,151
192.168.1.4,57942,192.168.1.1,53,udp,0.06853199,4027,8805,SF,1,0,0,IIishhhHHh,7,4223,10,9085
192.168.1.6,38946,192.168.1.4,22,SSH,16.588052988052368,1631,2086,SF,1,1,0,ShADadFf,17,2523,22,3238
192.168.1.6,57970,192.168.1.4,22,SSH,16.596375942230225,1615,2086,SF,1,1,0,ShADadFf,17,2507,22,3238
192.168.1.4,52853,192.168.1.1,53,udp,0.002981186,58,273,SF,1,1,0,Dd,1,86,1,301
192.168.1.6,52444,192.168.1.4,22,SSH,18.088834047317505,1607,2086,SF,1,1,0,ShADadFf,17,2499,22,3238
192.168.1.4,40307,192.168.1.1,53,udp,0.068645954,46,251,SF,1,1,0,Dd,1,74,1,279
192.168.1.6,57222,192.168.1.4,22,SSH,15.082881927490234,1623,2086,SF,1,1,0,ShADadFf,17,2515,22,3238
192.168.1.4,35486,172.253.62.100,443,tcp,2.802700996,1910,13363,SF,1,0,0,ShADadFf,14,2646,12,13995
192.168.1.4,32878,192.168.1.1,53,udp,0.015624046,63,323,SF,1,1,0,Dd,1,91,1,351
192.168.1.6,44472,192.168.1.4,22,SSH,0.000399113,23,22,RSTR,1,1,0,ShADadr,4,239,5,278
192.168.1.4,57622,52.179.73.39,443,tcp,9.272332907,2650,6471,RSTR,1,0,0,ShADadFr,12,3298,10,6987
192.168.1.6,32800,192.168.1.4,22,SSH,0.000711918,23,22,RSTR,1,1,0,ShADadr,4,239,5,278
192.168.1.4,43729,172.253.63.91,443,udp,0.001938105,41,630,SF,1,1,0,IIiiihhhIHHhH,1,69,1,658
192.168.1.4,45934,172.253.115.156,443,tcp,60.0543561,1875,6597,SF,1,0,0,ShADadFf,12,2507,10,7125
192.168.1.4,51220,192.168.1.1,53,udp,0.092426062,47,131,SF,1,1,0,Dd,1,75,1,159
192.168.1.4,49923,192.168.1.1,53,udp,0.003172874,45,163,SF,1,1,0,IIiiihhhIHH,1,73,1,191
192.168.1.6,56044,192.168.1.4,22,SSH,16.58536696434021,1631,2086,SF,1,1,0,ShADadFf,17,2523,22,3238
192.168.1.6,47190,192.168.1.4,22,SSH,18.09128308296204,1631,2086,SF,1,1,0,ShADadFf,17,2523,22,3238
192.168.1.4,41179,192.168.1.1,53,udp,0.017695904,45,431,SF,1,1,0,Dd,1,73,1,459
192.168.1.6,56428,192.168.1.4,22,SSH,16.589256048202515,1607,2086,SF,1,1,0,ShADadFf,17,2499,22,3238
192.168.1.4,54254,108.138.85.9,443,tcp,240.0730681,2802,7698,SF,1,0,0,ShADadfF,22,3954,26,9058
